"CLUSTERID1","CLUSTERID2","ComponentIndex","Cosine","DeltaMZ","ChemProp2","ChemProp_spearman","ChemProp_log","ChemProp_sqrt","abs_ChemProp2","abs_ChemProp_spearman","abs_ChemProp_log","abs_ChemProp_sqrt","Sign_ChemProp2"
2799,3094,100,0.7764,27.995,0.789115572551601,0.779640165496665,0.702867151832207,0.766120463765682,0.789115572551601,0.779640165496665,0.702867151832207,0.766120463765682,1
6889,7311,88,0.9606,-14.016,0.787133976420844,0.732461822255667,0.834598844173532,0.839361575340006,0.787133976420844,0.732461822255667,0.834598844173532,0.839361575340006,1
6889,8125,88,0.7665,-42.047,0.778739133361114,0.716646463454717,0.766252809662287,0.809777581722128,0.778739133361114,0.716646463454717,0.766252809662287,0.809777581722128,1
6889,8335,88,0.9396,-42.047,0.772035361332614,0.604282097436167,0.741642230757597,0.801597151769029,0.772035361332614,0.604282097436167,0.741642230757597,0.801597151769029,1
6889,7410,88,0.7454,-14.016,0.770929509220936,0.658928334575269,0.818164352219088,0.820625911745113,0.770929509220936,0.658928334575269,0.818164352219088,0.820625911745113,1
1494,2317,155,0.7662,40.99,0.768761101008728,0.628141694058609,0.545017246261007,0.70417061575338,0.768761101008728,0.628141694058609,0.545017246261007,0.70417061575338,1
4571,7311,88,0.8547,-70.078,0.744601909425184,0.614401566715439,0.741160769985502,0.777993570808792,0.744601909425184,0.614401566715439,0.741160769985502,0.777993570808792,1
191,1722,16,0.8861,0,0.736392227606308,0.798972540732767,0.724867381751949,0.756991669982777,0.736392227606308,0.798972540732767,0.724867381751949,0.756991669982777,1
4571,8335,88,0.8383,-98.109,0.729503294336953,0.486221841895939,0.648204156569567,0.740229147237814,0.729503294336953,0.486221841895939,0.648204156569567,0.740229147237814,1
4571,7410,88,0.7127,-70.078,0.728397442225275,0.540868079035041,0.724726278031058,0.759257907213898,0.728397442225275,0.540868079035041,0.724726278031058,0.759257907213898,1
4092,5489,95,0.9058,-42.047,0.65742508058873,0.56548287709151,0.480928948529646,0.58565941516159,0.65742508058873,0.56548287709151,0.480928948529646,0.58565941516159,1
4353,5489,95,0.8715,49.979,0.646435448780994,0.573571426721888,0.500740655282271,0.581288105550727,0.646435448780994,0.573571426721888,0.500740655282271,0.581288105550727,1
7442,8014,63,0.9178,-14.016,0.554485870150869,0.235874653437029,0.317592632470897,0.46152212275834,0.554485870150869,0.235874653437029,0.317592632470897,0.46152212275834,1
64,781,101,0.8069,14,0.550673023787945,0.560822303928668,0.271957319067799,0.439414707639358,0.550673023787945,0.560822303928668,0.271957319067799,0.439414707639358,1
4856,5489,95,0.931,-14.016,0.545011405339777,0.546322742977603,0.222482132007093,0.40661460204587,0.545011405339777,0.546322742977603,0.222482132007093,0.40661460204587,1
64,782,101,0.8982,15.995,0.539463133480494,0.580500279505112,0.199980270861262,0.401934302316147,0.539463133480494,0.580500279505112,0.199980270861262,0.401934302316147,1
4445,7262,227,0.8413,-84.093,0.51553568582033,0.716541892516029,0.600466979891965,0.558914500943432,0.51553568582033,0.716541892516029,0.600466979891965,0.558914500943432,1
1025,1074,284,0.8887,0.021,0.505669293045756,0.560822303928668,0.364744265028042,0.448911379455843,0.505669293045756,0.560822303928668,0.364744265028042,0.448911379455843,1
220,1769,164,0.9644,0,0.502102437856305,0.576462470376049,0.517529881019835,0.525877359247479,0.502102437856305,0.576462470376049,0.517529881019835,0.525877359247479,1
1615,1719,100,0.8896,27.995,0.496726830146656,0.434468987069393,0.300895406917686,0.418004313310673,0.496726830146656,0.434468987069393,0.300895406917686,0.418004313310673,1
4994,5203,141,0.957,-13.946,0.492876854377997,0.415334513434935,0.362167472737561,0.446039437809906,0.492876854377997,0.415334513434935,0.362167472737561,0.446039437809906,1
1114,1714,318,0.8292,-14.016,0.480129980149551,0.510073840599942,0.237340580025106,0.368586600887622,0.480129980149551,0.510073840599942,0.237340580025106,0.368586600887622,1
72,783,163,0.8325,0,0.47652827565504,0.533894547876691,0.185098105290405,0.349154227729115,0.47652827565504,0.533894547876691,0.185098105290405,0.349154227729115,1
7980,8125,88,0.8068,-14.016,0.47024300498567,0.5007204697693,0.378310635997399,0.467243726820025,0.47024300498567,0.5007204697693,0.378310635997399,0.467243726820025,1
4994,5131,141,0.8652,-3.943,0.463579055483967,0.428380852832542,0.344622028620367,0.421434415513222,0.463579055483967,0.428380852832542,0.344622028620367,0.421434415513222,1
7980,8335,88,0.972,-14.016,0.46353923295717,0.38835610375075,0.353700057092708,0.459063296866925,0.46353923295717,0.38835610375075,0.353700057092708,0.459063296866925,1
4994,5126,141,0.9954,-1.946,0.46177556278139,0.420031195618074,0.342405103210051,0.419505431050913,0.46177556278139,0.420031195618074,0.342405103210051,0.419505431050913,1
1280,1415,201,0.7668,0,0.460496401788258,0.416254735216879,0.246898944585483,0.373831768744151,0.460496401788258,0.416254735216879,0.246898944585483,0.373831768744151,1
4994,5014,141,0.9896,-1.946,0.456391464228813,0.399678906157806,0.340791599505949,0.416246449140613,0.456391464228813,0.399678906157806,0.340791599505949,0.416246449140613,1
525,714,208,0.7101,0.018,0.456277553941114,0.429653532286942,0.296644353740209,0.40083296093305,0.456277553941114,0.429653532286942,0.296644353740209,0.40083296093305,1
2497,2774,2,0.7566,-14.016,0.449744470948237,0.487411239894608,0.347156252262066,0.410367388865321,0.449744470948237,0.487411239894608,0.347156252262066,0.410367388865321,1
4994,5587,141,0.9496,-13.946,0.449591097714389,0.365236570148123,0.343218023613346,0.414588565550022,0.449591097714389,0.365236570148123,0.343218023613346,0.414588565550022,1
7711,8014,63,0.9849,-0.001,0.448735267359808,0.166734220543655,0.0668185458847417,0.300008288369979,0.448735267359808,0.166734220543655,0.0668185458847417,0.300008288369979,1
7947,8014,63,0.8984,14.015,0.448216028551196,0.265132696070427,0.0829028229206704,0.296787958560166,0.448216028551196,0.265132696070427,0.0829028229206704,0.296787958560166,1
7194,9980,9,0.9559,-108.148,0.434516608845614,0.430595862653404,0.450930184710105,0.442462003511677,0.434516608845614,0.430595862653404,0.450930184710105,0.442462003511677,1
7341,8014,63,0.8743,46.042,0.425758254056357,0.147841604805567,0.315682411349898,0.384338996525113,0.425758254056357,0.147841604805567,0.315682411349898,0.384338996525113,1
4994,5298,141,0.9371,-13.946,0.424702238106726,0.386110713184295,0.351705723741504,0.415044235102858,0.424702238106726,0.386110713184295,0.351705723741504,0.415044235102858,1
562,1657,295,0.759,15.995,0.418287044840256,0.228368084979264,0.242571922952836,0.344921710863095,0.418287044840256,0.228368084979264,0.242571922952836,0.344921710863095,1
