"CLUSTERID1","CLUSTERID2","ComponentIndex","Cosine","DeltaMZ","ChemProp2","ChemProp_spearman","ChemProp_log","ChemProp_sqrt","abs_ChemProp2","abs_ChemProp_spearman","abs_ChemProp_log","abs_ChemProp_sqrt","Sign_ChemProp2","Compound1_LibraryID","Compound1_MQScore","Compound1_MS2 Verification Comment","Compound1_RTConsensus","Compound1_RTMean","Compound1_RTStdErr","Compound1_Smiles","Compound1_SpectrumID","Compound1_SumPeakIntensity","Compound1_UniqueFileSourcesCount","Compound1_cluster index","Compound1_componentindex","Compound1_neutral M mass","Compound1_number of spectra","Compound1_parent mass","Compound1_precursor charge","Compound1_precursor mass","Compound1_sum(precursor intensity)","Compound2_LibraryID","Compound2_MQScore","Compound2_MS2 Verification Comment","Compound2_RTConsensus","Compound2_RTMean","Compound2_RTStdErr","Compound2_Smiles","Compound2_SpectrumID","Compound2_SumPeakIntensity","Compound2_UniqueFileSourcesCount","Compound2_cluster index","Compound2_componentindex","Compound2_neutral M mass","Compound2_number of spectra","Compound2_parent mass","Compound2_precursor charge","Compound2_precursor mass","Compound2_sum(precursor intensity)"
2799,3094,100,0.7764,27.995,0.789115572551601,0.779640165496665,0.702867151832207,0.766120463765682,0.789115572551601,0.779640165496665,0.702867151832207,0.766120463765682,1,"N/A","N/A",NA,3.1169,3.1169,0,"N/A","N/A",825594.21184,74,2799,100,NA,74,332.1601,1,332.1601,825594.21184,"N/A","N/A",NA,3.3314,3.3314,0,"N/A","N/A",1549525.173,74,3094,100,NA,74,304.1654,1,304.1654,1549525.173
6889,7311,88,0.9606,-14.016,0.787133976420844,0.732461822255667,0.834598844173532,0.839361575340006,0.787133976420844,0.732461822255667,0.834598844173532,0.839361575340006,1,"N/A","N/A",NA,5.8713,5.8713,0,"N/A","N/A",4452291.013,80,6889,88,NA,80,228.2321,1,228.2321,4452291.013,"N/A","N/A",NA,5.9909,5.9909,0,"N/A","N/A",3997539.7955,74,7311,88,NA,74,242.2476,1,242.2476,3997539.7955
6889,8125,88,0.7665,-42.047,0.778739133361114,0.716646463454717,0.766252809662287,0.809777581722128,0.778739133361114,0.716646463454717,0.766252809662287,0.809777581722128,1,"N/A","N/A",NA,5.8713,5.8713,0,"N/A","N/A",4452291.013,80,6889,88,NA,80,228.2321,1,228.2321,4452291.013,"N/A","N/A",NA,6.1822,6.1822,0,"N/A","N/A",7647770.6158,80,8125,88,NA,80,270.279,1,270.279,7647770.6158
6889,8335,88,0.9396,-42.047,0.772035361332614,0.604282097436167,0.741642230757597,0.801597151769029,0.772035361332614,0.604282097436167,0.741642230757597,0.801597151769029,1,"N/A","N/A",NA,5.8713,5.8713,0,"N/A","N/A",4452291.013,80,6889,88,NA,80,228.2321,1,228.2321,4452291.013,"N/A","N/A",NA,6.2462,6.2462,0,"N/A","N/A",9509179.9855,80,8335,88,NA,80,270.2789,1,270.2789,9509179.9855
6889,7410,88,0.7454,-14.016,0.770929509220936,0.658928334575269,0.818164352219088,0.820625911745113,0.770929509220936,0.658928334575269,0.818164352219088,0.820625911745113,1,"N/A","N/A",NA,5.8713,5.8713,0,"N/A","N/A",4452291.013,80,6889,88,NA,80,228.2321,1,228.2321,4452291.013,"N/A","N/A",NA,6.0057,6.0057,0,"N/A","N/A",4178188.0945,74,7410,88,NA,74,242.2476,1,242.2476,4178188.0945
1494,2317,155,0.7662,40.99,0.768761101008728,0.628141694058609,0.545017246261007,0.70417061575338,0.768761101008728,0.628141694058609,0.545017246261007,0.70417061575338,1,"N/A","N/A",NA,2.3442,2.3442,0,"N/A","N/A",2462817.668,73,1494,155,NA,73,222.1232,1,222.1232,2462817.668,"N/A","N/A",NA,2.8133,2.8133,0,"N/A","N/A",6733262.308,74,2317,155,NA,74,181.1335,1,181.1335,6733262.308
4571,7311,88,0.8547,-70.078,0.744601909425184,0.614401566715439,0.741160769985502,0.777993570808792,0.744601909425184,0.614401566715439,0.741160769985502,0.777993570808792,1,"N/A","N/A",NA,4.8402,4.8402,0,"N/A","N/A",1700495.196,80,4571,88,NA,80,172.1695,1,172.1695,1700495.196,"N/A","N/A",NA,5.9909,5.9909,0,"N/A","N/A",3997539.7955,74,7311,88,NA,74,242.2476,1,242.2476,3997539.7955
191,1722,16,0.8861,0,0.736392227606308,0.798972540732767,0.724867381751949,0.756991669982777,0.736392227606308,0.798972540732767,0.724867381751949,0.756991669982777,1,"N/A","N/A",NA,0.9174,0.9174,0,"N/A","N/A",3038341.17655,53,191,16,NA,53,158.0601,1,158.0601,3038341.17655,"N/A","N/A",NA,2.4905,2.4905,0,"N/A","N/A",2114772.246,74,1722,16,NA,74,158.06,1,158.06,2114772.246
4571,8335,88,0.8383,-98.109,0.729503294336953,0.486221841895939,0.648204156569567,0.740229147237814,0.729503294336953,0.486221841895939,0.648204156569567,0.740229147237814,1,"N/A","N/A",NA,4.8402,4.8402,0,"N/A","N/A",1700495.196,80,4571,88,NA,80,172.1695,1,172.1695,1700495.196,"N/A","N/A",NA,6.2462,6.2462,0,"N/A","N/A",9509179.9855,80,8335,88,NA,80,270.2789,1,270.2789,9509179.9855
4571,7410,88,0.7127,-70.078,0.728397442225275,0.540868079035041,0.724726278031058,0.759257907213898,0.728397442225275,0.540868079035041,0.724726278031058,0.759257907213898,1,"N/A","N/A",NA,4.8402,4.8402,0,"N/A","N/A",1700495.196,80,4571,88,NA,80,172.1695,1,172.1695,1700495.196,"N/A","N/A",NA,6.0057,6.0057,0,"N/A","N/A",4178188.0945,74,7410,88,NA,74,242.2476,1,242.2476,4178188.0945
