filename	ATTRIBUTE_species	ATTRIBUTE_sample	ATTRIBUTE_timepoint	ATTRIBUTE_replicates
t0_BS_1.mzML Peak area	B.subtilis	sample	0	1
t0_BS_2.mzML Peak area	B.subtilis	sample	0	2
t0_BS_3.mzML Peak area	B.subtilis	sample	0	3
t0_BS_C.mzML Peak area	B.subtilis	Control	0	0
t0_Ec_1.mzML Peak area	E.coli	sample	0	1
t0_Ec_2.mzML Peak area	E.coli	sample	0	2
t0_Ec_3.mzML Peak area	E.coli	sample	0	3
t0_Ec_C.mzML Peak area	E.coli	Control	0	0
t1_BS_1.mzML Peak area	B.subtilis	sample	1	1
t1_BS_2.mzML Peak area	B.subtilis	sample	1	2
t1_BS_3.mzML Peak area	B.subtilis	sample	1	3
t1_BS_C.mzML Peak area	B.subtilis	Control	1	0
t1_Ec_1.mzML Peak area	E.coli	sample	1	1
t1_Ec_2.mzML Peak area	E.coli	sample	1	2
t1_Ec_3.mzML Peak area	E.coli	sample	1	3
t1_Ec_C.mzML Peak area	E.coli	Control	1	0
t2_BS_1.mzML Peak area	B.subtilis	sample	2	1
t2_BS_2.mzML Peak area	B.subtilis	sample	2	2
t2_BS_3.mzML Peak area	B.subtilis	sample	2	3
t2_BS_C.mzML Peak area	B.subtilis	Control	2	0
t2_Ec_1.mzML Peak area	E.coli	sample	2	1
t2_Ec_2.mzML Peak area	E.coli	sample	2	2
t2_Ec_3.mzML Peak area	E.coli	sample	2	3
t2_Ec_C.mzML Peak area	E.coli	Control	2	0
t3_BS_1.mzML Peak area	B.subtilis	sample	3	1
t3_BS_2.mzML Peak area	B.subtilis	sample	3	2
t3_BS_3.mzML Peak area	B.subtilis	sample	3	3
t3_BS_C.mzML Peak area	B.subtilis	Control	3	0
t3_Ec_1.mzML Peak area	E.coli	sample	3	1
t3_Ec_2.mzML Peak area	E.coli	sample	3	2
t3_Ec_3.mzML Peak area	E.coli	sample	3	3
t3_Ec_C.mzML Peak area	E.coli	Control	3	0
t4_BS_1.mzML Peak area	B.subtilis	sample	4	1
t4_BS_2.mzML Peak area	B.subtilis	sample	4	2
t4_BS_3.mzML Peak area	B.subtilis	sample	4	3
t4_BS_C.mzML Peak area	B.subtilis	Control	4	0
t4_Ec_1.mzML Peak area	E.coli	sample	4	1
t4_Ec_2.mzML Peak area	E.coli	sample	4	2
t4_Ec_3.mzML Peak area	E.coli	sample	4	3
t4_Ec_C.mzML Peak area	E.coli	Control	4	0
t5_BS_1.mzML Peak area	B.subtilis	sample	5	1
t5_BS_2.mzML Peak area	B.subtilis	sample	5	2
t5_BS_3.mzML Peak area	B.subtilis	sample	5	3
t5_BS_C.mzML Peak area	B.subtilis	Control	5	0
t5_Ec_1.mzML Peak area	E.coli	sample	5	1
t5_Ec_2.mzML Peak area	E.coli	sample	5	2
t5_Ec_3.mzML Peak area	E.coli	sample	5	3
t5_Ec_C.mzML Peak area	E.coli	Control	5	0
t6_BS_1.mzML Peak area	B.subtilis	sample	6	1
t6_BS_2.mzML Peak area	B.subtilis	sample	6	2
t6_BS_3.mzML Peak area	B.subtilis	sample	6	3
t6_BS_C.mzML Peak area	B.subtilis	Control	6	0
t6_Ec_1.mzML Peak area	E.coli	sample	6	1
t6_Ec_2.mzML Peak area	E.coli	sample	6	2
t6_Ec_3.mzML Peak area	E.coli	sample	6	3
t6_Ec_C.mzML Peak area	E.coli	Control	6	0
t7_BS_1.mzML Peak area	B.subtilis	sample	7	1
t7_BS_2.mzML Peak area	B.subtilis	sample	7	2
t7_BS_3.mzML Peak area	B.subtilis	sample	7	3
t7_BS_C.mzML Peak area	B.subtilis	Control	7	0
t7_Ec_1.mzML Peak area	E.coli	sample	7	1
t7_Ec_2.mzML Peak area	E.coli	sample	7	2
t7_Ec_3.mzML Peak area	E.coli	sample	7	3
t7_Ec_C.mzML Peak area	E.coli	Control	7	0
t8_BS_1.mzML Peak area	B.subtilis	sample	8	1
t8_BS_2.mzML Peak area	B.subtilis	sample	8	2
t8_BS_3.mzML Peak area	B.subtilis	sample	8	3
t8_BS_C.mzML Peak area	B.subtilis	Control	8	0
t8_Ec_1.mzML Peak area	E.coli	sample	8	1
t8_Ec_2.mzML Peak area	E.coli	sample	8	2
t8_Ec_3.mzML Peak area	E.coli	sample	8	3
t8_Ec_C.mzML Peak area	E.coli	Control	8	0
t9_BS_1.mzML Peak area	B.subtilis	sample	9	1
t9_BS_2.mzML Peak area	B.subtilis	sample	9	2
t9_BS_3.mzML Peak area	B.subtilis	sample	9	3
t9_BS_C.mzML Peak area	B.subtilis	Control	9	0
t9_Ec_1.mzML Peak area	E.coli	sample	9	1
t9_Ec_2.mzML Peak area	E.coli	sample	9	2
t9_Ec_3.mzML Peak area	E.coli	sample	9	3
t9_Ec_C.mzML Peak area	E.coli	Control	9	0
