CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
431	540	1	0.9492	0.000
431	613	1	0.8052	63.995
431	668	1	0.9535	0.000
818	3069	1	0.7866	-30.026
2046	2822	1	0.8235	-14.016
385	431	1	0.9317	0.000
2783	2925	1	0.9361	0.000
2046	3032	1	0.9042	-48.000
540	668	1	0.9622	0.000
2046	2080	1	0.9236	0.050
2016	2207	1	0.833	-0.014
385	613	1	0.8172	63.995
2783	2822	1	0.9509	0.000
2046	2207	1	0.8484	0.036
1218	1399	1	0.8315	0.036
2016	2046	1	0.9679	-0.050
2080	2207	1	0.9015	-0.014
2016	2080	1	0.9196	-0.000
385	540	1	0.9283	0.000
540	613	1	0.8063	63.995
2569	3069	1	0.8988	-14.016
2569	3032	1	0.8982	-14.016
385	668	1	0.9342	0.000
1399	1455	1	0.9367	-0.036
1218	1455	1	0.8696	0.000
2046	3069	1	0.8991	-48.000
613	668	1	0.8103	-63.995
613	1218	1	0.9503	-14.016
613	2046	1	0.8283	-16.031
3032	3069	1	0.9451	0.000
2822	2925	1	0.9619	0.000
818	3032	1	0.7892	-30.026
385	1218	1	0.7871	49.979
613	1455	1	0.8262	-14.016
231	3202	2	0.8216	-0.000
3192	3708	2	0.8348	-33.961
2151	2375	2	0.9338	-0.923
3192	3639	2	0.7078	-14.016
445	2151	2	0.8049	0.923
2375	2774	2	0.815	-42.011
3168	3180	2	0.8455	-1.004
231	446	2	0.8082	23.016
3202	6404	2	0.7819	-0.188
2375	6404	2	0.7965	-0.188
2497	2774	2	0.7566	-14.016
2774	3386	2	0.8222	-14.016
2375	3202	2	0.9726	-0.000
268	330	2	0.8715	-0.069
446	2151	2	0.7409	-22.093
2370	3202	2	0.9398	1.994
268	462	2	0.8027	-1.003
445	2370	2	0.8027	-1.995
445	3202	2	0.8317	-0.001
330	446	2	0.7042	0.069
3910	6631	2	0.7913	-0.188
2151	3202	2	0.9178	-0.923
3202	3910	2	0.8088	0.000
2375	3192	2	0.7973	-57.021
3202	6631	2	0.8685	-0.188
3523	3910	2	0.7074	33.961
462	2343	2	0.701	-23.016
231	2151	2	0.7762	0.923
2093	6631	2	0.7204	-1.130
3639	3708	2	0.723	-19.945
2364	2370	2	0.7808	1.004
2370	3910	2	0.8053	1.995
2343	2370	2	0.7798	-0.991
268	446	2	0.9113	-0.000
2375	3910	2	0.8254	-0.000
445	3192	2	0.7985	-57.022
3910	6404	2	0.7023	-0.188
3202	3708	2	0.7789	-90.982
2364	3180	2	0.8072	-57.021
2370	3168	2	0.7883	-57.021
446	462	2	0.7568	-1.003
445	3639	2	0.7903	-71.038
3192	3273	2	0.7184	-42.011
6404	6631	2	0.765	0.000
2375	6631	2	0.8887	-0.188
231	2370	2	0.7717	-1.995
2151	6631	2	0.8833	-1.111
253	330	2	0.7871	0.000
231	3192	2	0.7747	-57.021
231	445	2	0.9438	0.000
3192	3783	2	0.915	-14.016
2151	3910	2	0.7945	-0.923
2093	2151	2	0.7767	-0.018
2343	3202	2	0.7823	1.003
231	3639	2	0.7754	-71.037
445	2375	2	0.8286	-0.000
3192	3910	2	0.7089	57.021
231	3708	2	0.8429	-90.983
445	3708	2	0.8633	-90.983
2343	2364	2	0.9606	-1.995
2370	2375	2	0.967	1.995
2151	6404	2	0.7544	-1.111
3168	3192	2	0.8825	1.994
231	2375	2	0.8051	0.000
8700	8883	3	0.8752	14.015
8700	8702	3	0.9173	73.089
