"row ID","row m/z","row retention time","row ion mobility","row ion mobility unit","row CCS","correlation group ID","annotation network number","best ion","auto MS2 verify","identified by n=","partners","neutral M mass","t0_BS_1.mzML Peak area","t0_BS_2.mzML Peak area","t0_BS_3.mzML Peak area","t0_BS_C.mzML Peak area","t0_Ec_1.mzML Peak area","t0_Ec_2.mzML Peak area","t0_Ec_3.mzML Peak area","t0_Ec_C.mzML Peak area","t1_BS_1.mzML Peak area","t1_BS_2.mzML Peak area","t1_BS_3.mzML Peak area","t1_BS_C.mzML Peak area","t1_Ec_1.mzML Peak area","t1_Ec_2.mzML Peak area","t1_Ec_3.mzML Peak area","t1_Ec_C.mzML Peak area","t2_BS_1.mzML Peak area","t2_BS_2.mzML Peak area","t2_BS_3.mzML Peak area","t2_BS_C.mzML Peak area","t2_Ec_1.mzML Peak area","t2_Ec_2.mzML Peak area","t2_Ec_3.mzML Peak area","t2_Ec_C.mzML Peak area","t3_BS_1.mzML Peak area","t3_BS_2.mzML Peak area","t3_BS_3.mzML Peak area","t3_BS_C.mzML Peak area","t3_Ec_1.mzML Peak area","t3_Ec_2.mzML Peak area","t3_Ec_3.mzML Peak area","t3_Ec_C.mzML Peak area","t4_BS_1.mzML Peak area","t4_BS_2.mzML Peak area","t4_BS_3.mzML Peak area","t4_BS_C.mzML Peak area","t4_Ec_1.mzML Peak area","t4_Ec_2.mzML Peak area","t4_Ec_3.mzML Peak area","t4_Ec_C.mzML Peak area","t5_BS_1.mzML Peak area","t5_BS_2.mzML Peak area","t5_BS_3.mzML Peak area","t5_BS_C.mzML Peak area","t5_Ec_1.mzML Peak area","t5_Ec_2.mzML Peak area","t5_Ec_3.mzML Peak area","t5_Ec_C.mzML Peak area","t6_BS_1.mzML Peak area","t6_BS_2.mzML Peak area","t6_BS_3.mzML Peak area","t6_BS_C.mzML Peak area","t6_Ec_1.mzML Peak area","t6_Ec_2.mzML Peak area","t6_Ec_3.mzML Peak area","t6_Ec_C.mzML Peak area","t7_BS_1.mzML Peak area","t7_BS_2.mzML Peak area","t7_BS_3.mzML Peak area","t7_BS_C.mzML Peak area","t7_Ec_1.mzML Peak area","t7_Ec_2.mzML Peak area","t7_Ec_3.mzML Peak area","t7_Ec_C.mzML Peak area","t8_BS_1.mzML Peak area","t8_BS_2.mzML Peak area","t8_BS_3.mzML Peak area","t8_BS_C.mzML Peak area","t8_Ec_1.mzML Peak area","t8_Ec_2.mzML Peak area","t8_Ec_3.mzML Peak area","t8_Ec_C.mzML Peak area","t9_BS_1.mzML Peak area","t9_BS_2.mzML Peak area","t9_BS_3.mzML Peak area","t9_BS_C.mzML Peak area","t9_Ec_1.mzML Peak area","t9_Ec_2.mzML Peak area","t9_Ec_3.mzML Peak area","t9_Ec_C.mzML Peak area"
2,284.0490103,0.07352047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
6,267.0352464,0.116444126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
8,281.050873,0.116664544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
11,227.0220163,0.025476014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
13,239.0947388,0.026165182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
15,284.0490001,0.15191087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
16,161.0821088,0.10668242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
21,281.0508777,0.23098621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
24,161.0821156,0.19128656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
25,284.0489967,0.2343344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50016.688,30202.674,16897.887,14007.651,7563.9473,21243.742,49115.44,12647.69,28919.277,26923.193,41411.12,26376.918,28899.84,28062.707,27951.842,28246.492,39951.203,40906.168,52877.168,46868.227,53690.63,55020.355,42879.52,55509.543,46416.24,31185.057,53952.363,44880.08,56715.953,51162.4,55764.64,45304.973,12974.039,51228.02,56227.523,38522.72,53703.953,69338.63,23091.436,9353.549,46063.76,55593.37,23548.102,29528.594,57322.18,5613.7725,52055.973,53919.477,56138.133,56219.324,3766,11975.761,42343.426,10502.301,36431.254,53829.74,11130.587,35759.793,38213.223,52502.65,35167.754,66141.39,35869.273,17925.115,46543.37,44239.773,68134.6,67435.61,31650.273,66975.12,63062.29,36082.902,68119.85,64193.406,59604.664,11099.748,65295.617,67934.33,24382.08,23628.791
